MasterIncidentNumber,CalendarYear,Month,DayOfMonth,Call_Type,Problem,Battalion,Jurisdiction,ResponseArea,PriorityDescription,Response Status,Districts,Location 1
15073605,2015,Jul,28,Fire,AUTO - Auto Fire,B4,AFD,00-2704,2F,Code 3,8.0,"(30213794, 97830349)"
15050096,2015,May,23,Fire,ELEC - Electrical Fire,B5,AFD,00-2204,3F,Code 3,3.0,"(30228693, 97702907)"
15073855,2015,Jul,29,Fire,GRASS - Small Grass Fire,B5,AFD,00-2205,3F,Code 3,3.0,"(30242203, 97690229)"
15050189,2015,May,23,Fire,ELEC - Electrical Fire,B4,AFD,00-1705,3F,Code 3,3.0,"(30232123, 97775881)"
15050217,2015,May,23,Fire,ELEC - Electrical Fire,B3,AFD,00-4104,3F,Code 3,1.0,"(30370756, 97614839)"
15050249,2015,May,24,Fire,ELEC - Electrical Fire,B5,AFD,00-0601,3F,Code 3,9.0,"(30243961, 97737083)"
15050294,2015,May,24,Fire,AUTO - Auto Fire,B3,AFD,00-4001,2F,Code 3,7.0,"(30416341, 97672958)"
15073919,2015,Jul,29,Fire,TRASH - Trash Fire,B3,AFD,00-2808,3F,Code 3,7.0,"(30441269, 97701873)"
15074126,2015,Jul,30,Fire,ELEC - Electrical Fire,B5,AFD,00-3501,3F,Code 3,2.0,"(30215602, 97740682)"
15074147,2015,Jul,30,Fire,TRASH - Trash Fire,B3,AFD,00-2608,3F,Other,1.0,"(30316632, 97662689)"
15050462,2015,May,24,Fire,BBQ - Unsafe Cooking,B2,AFD,00-4404,4F,Code 1,6.0,"(30441439, 97749012)"
15050536,2015,May,24,Fire,BBQ - Unsafe Cooking,B3,AFD,00-2304,4F,Code 1,4.0,"(30354368, 97685714)"
15050565,2015,May,24,Fire,BBQ - Unsafe Cooking,B3,AFD,00-3004,4F,Code 1,1.0,"(30378579, 97674641)"
15050581,2015,May,24,Fire,ELEC - Electrical Fire,B5,AFD,00-2401,3F,Code 3,2.0,"(30193116, 97740591)"
15050641,2015,May,24,Fire,BBQ - Unsafe Cooking,B5,AFD,00-2403,4F,Code 1,2.0,"(30190343, 97767086)"
15074207,2015,Jul,30,Fire,GRASS - Small Grass Fire,B4,AFD,00-3205,3F,Left Blank,8.0,"(30254395, 97808078)"
15074340,2015,Jul,30,Fire,TRASH - Trash Fire,B3,AFD,00-1802,3F,Code 3,1.0,"(30295047, 97678682)"
15074379,2015,Jul,30,Fire,AUTO - Auto Fire,B4,AFD,00-1707,2F,Code 3,3.0,"(30219201, 97755821)"
15074407,2015,Jul,31,Fire,AUTO - Auto Fire,B4,AFD,00-2904,2F,Code 3,5.0,"(30158755, 97833305)"
15074441,2015,Jul,31,Fire,AUTO - Auto Fire,B3,AFD,00-1406,2F,Code 3,9.0,"(30307648, 97715712)"
15050775,2015,May,25,Fire,AUTO - Auto Fire,B5,AFD,00-3501,2F,Code 3,2.0,"(30212157, 97713735)"
15074511,2015,Jul,31,Fire,ELEC - Electrical Fire,B5,AFD,00-4207,3F,Code 3,2.0,"(30209313, 97664962)"
15074546,2015,Jul,31,Fire,TRASH - Trash Fire,B3,AFD,00-2606,3F,Code 3,1.0,"(30299814, 97661501)"
15074547,2015,Jul,31,Fire,TRASH - Trash Fire,B5,AFD,00-0505,3F,Code 3,1.0,"(30292318, 97663638)"
15050782,2015,May,25,Fire,BBQ - Unsafe Cooking,B5,AFD,00-2403,4F,Code 1,2.0,"(30193069, 97764278)"
15050799,2015,May,25,Fire,ELEC - Electrical Fire,B3,AFD,00-1403,3F,Code 3,1.0,"(30286206, 97706731)"
15050806,2015,May,25,Fire,ELEC - Electrical Fire,B2,AFD,00-3105,3F,Code 1,10.0,"(30341282, 97809404)"
15050834,2015,May,25,Fire,ELEC - Electrical Fire,B2,AFD,00-3908,3F,Code 3,10.0,"(30392217, 97839125)"
15050850,2015,May,25,Fire,BBQ - Unsafe Cooking,B3,AFD,00-1403,4F,Code 1,1.0,"(30284897, 97715391)"
15050865,2015,May,25,Fire,ELEC - Electrical Fire,B2,AFD,00-3801,3F,Code 3,6.0,"(30437689, 97802571)"
15050882,2015,May,25,Fire,ELEC - Electrical Fire,B3,AFD,00-3003,3F,Code 3,7.0,"(30383305, 97683767)"
15074644,2015,Jul,31,Fire,TRASH - Trash Fire,B3,AFD,00-3002,3F,Code 3,4.0,"(30386139, 97695764)"
15074681,2015,Jul,31,Fire,TRASH - Trash Fire,B2,AFD,00-1601,3F,Code 3,7.0,"(30345494, 97723884)"
15074682,2015,Jul,31,Fire,AUTO - Auto Fire,B5,AFD,00-2403,2F,Code 3,2.0,"(30180152, 97748123)"
15074752,2015,Jul,31,Fire,ELEC - Electrical Fire,B2,AFD,00-1606,3F,Code 3,7.0,"(30356893, 97732475)"
15074783,2015,Aug,1,Fire,GRASS - Small Grass Fire,B3,AFD,00-2304,3F,Code 3,4.0,"(30353411, 97686224)"
15074824,2015,Aug,1,Fire,TRASH - Trash Fire,B4,AFD,00-2901,3F,Code 3,8.0,"(30209476, 97839248)"
15074826,2015,Aug,1,Fire,ELEC - Electrical Fire,B2,AFD,00-3401,3F,Code 3,6.0,"(30467138, 97787556)"
15051019,2015,May,25,Fire,BOXL- Structure Fire,B1,AFD,00-1206,1F,Code 3,10.0,"(30313431, 97744013)"
15074897,2015,Aug,1,Fire,ELEC - Electrical Fire,B5,AFD,00-4201,3F,Code 3,2.0,"(30223123, 97670772)"
15051093,2015,May,25,Fire,ELEC - Electrical Fire,B4,AFD,00-2904,3F,Code 3,5.0,"(30177067, 97841094)"
15074931,2015,Aug,1,Fire,ELEC - Electrical Fire,B1,AFD,00-0101,3F,Code 3,9.0,"(30262107, 9.774E+7)"
15074960,2015,Aug,1,Fire,ELEC - Electrical Fire,B2,AFD,00-3101,3F,Code 3,10.0,"(30357799, 97795654)"
15074979,2015,Aug,1,Fire,BBQ - Unsafe Cooking,B1,AFD,00-0102,4F,Code 1,9.0,"(30270576, 97748066)"
15051111,2015,May,25,Fire,ELEC - Electrical Fire,B4,AFD,00-2703,3F,Code 3,8.0,"(30244679, 97842803)"
15074996,2015,Aug,1,Fire,GRASS - Small Grass Fire,B5,AFD,00-1504,3F,Code 3,1.0,"(30273261, 97699763)"
15075010,2015,Aug,1,Fire,BBQ - Unsafe Cooking,B2,AFD,00-3301,4F,Code 1,10.0,"(30383439, 97770698)"
15075038,2015,Aug,1,Fire,TRASH - Trash Fire,B1,AFD,00-0901,3F,Code 1,9.0,"(30305763, 97724285)"
15075057,2015,Aug,1,Fire,ELEC - Electrical Fire,B3,AFD,00-4001,3F,Code 3,7.0,"(30394508, 97653458)"
15075060,2015,Aug,1,Fire,TRASH - Trash Fire,B4,AFD,00-3601,3F,Code 3,2.0,"(30178961, 97789684)"
15051131,2015,May,25,Fire,ELEC - Electrical Fire,B3,AFD,00-2306,3F,Code 3,4.0,"(30352625, 97691964)"
15051177,2015,May,25,Fire,ELEC - Electrical Fire,B3,AFD,00-0804,3F,Code 3,7.0,"(30356522, 97729719)"
15075178,2015,Aug,2,Fire,AUTO - Auto Fire,B4,AFD,00-1710,2F,Code 3,2.0,"(30196953, 97765474)"
15075181,2015,Aug,2,Fire,AUTO - Auto Fire,B4,AFD,00-3607,2F,Code 3,2.0,"(30180519, 97777377)"
15051242,2015,May,25,Fire,ELEC - Electrical Fire,B5,AFD,00-1504,3F,Code 3,1.0,"(30276195, 97699756)"
15051246,2015,May,25,Fire,ELEC - Electrical Fire,B1,AFD,00-0901,3F,Code 3,10.0,"(30307873, 97741383)"
15075308,2015,Aug,2,Fire,GRASS - Small Grass Fire,B3,AFD,00-2606,3F,Code 3,1.0,"(30280132, 97646086)"
15075309,2015,Aug,2,Fire,GRASS - Small Grass Fire,B3,AFD,00-2606,3F,Code 3,1.0,"(30276794, 97637274)"
15075313,2015,Aug,2,Fire,GRASS - Small Grass Fire,B3,AFD,00-2606,3F,Code 3,1.0,"(30280828, 97647999)"
15075321,2015,Aug,2,Fire,GRASS - Small Grass Fire,B3,AFD,00-2606,3F,Code 3,1.0,"(30280118, 97646048)"
15051325,2015,May,25,Fire,AUTO - Auto Fire,B2,AFD,00-3802,2F,Code 3,6.0,"(30456292, 97804608)"
15075327,2015,Aug,2,Fire,GRASS - Small Grass Fire,B4,AFD,00-1701,3F,Code 3,3.0,"(30226973, 97770421)"
15051337,2015,May,25,Fire,BBQ - Unsafe Cooking,B3,AFD,00-1407,4F,Code 1,4.0,"(30319794, 97709976)"
15051346,2015,May,25,Fire,AUTO - Auto Fire,B1,AFD,00-0101,2F,Code 3,3.0,"(30260995, 97735784)"
15075458,2015,Aug,3,Fire,TRASH - Trash Fire,B2,AFD,00-2502,3F,Left Blank,10.0,"(30415562, 97746641)"
15075464,2015,Aug,3,Fire,TRASH - Trash Fire,B4,AFD,00-3611,3F,Code 3,2.0,"(30169726, 97783941)"
15075470,2015,Aug,3,Fire,ELEC - Electrical Fire,B2,AFD,00-1601,3F,Code 1,7.0,"(30346483, 97732123)"
15075519,2015,Aug,3,Fire,BRSHL - Brush Alarm / Light,B5,AFD,00-2403,2F,Code 3,2.0,"(30183575, 97764585)"
15051361,2015,May,25,Fire,ELEC - Electrical Fire,B1,AFD,00-1206,3F,Code 3,10.0,"(30309125, 97752312)"
15075531,2015,Aug,3,Fire,ELEC - Electrical Fire,B2,AFD,00-4504,3F,Code 3,6.0,"(30501362, 97790701)"
15051374,2015,May,25,Fire,ELEC - Electrical Fire,B2,AFD,00-3802,3F,Code 3,6.0,"(30455672, 97806234)"
15075559,2015,Aug,3,Fire,AUTO - Auto Fire,B2,AFD,00-3404,2F,Code 3,6.0,"(30477209, 97794342)"
15075574,2015,Aug,3,Fire,GRASS - Small Grass Fire,B4,AFD,00-3603,3F,Left Blank,5.0,"(30116134, 97805665)"
15075610,2015,Aug,3,Fire,GRASS - Small Grass Fire,B3,AFD,00-2305,3F,Code 3,4.0,"(30346635, 97695734)"
15075618,2015,Aug,3,Fire,AUTO - Auto Fire,B4,AFD,00-2702,2F,Code 3,8.0,"(30236465, 97841096)"
15075624,2015,Aug,3,Fire,GRASS - Small Grass Fire,B3,AFD,00-2306,3F,Code 3,4.0,"(30355163, 97690076)"
15075627,2015,Aug,3,Fire,GRASS - Small Grass Fire,B2,AFD,00-1603,3F,Code 3,4.0,"(30332954, 97704531)"
15075632,2015,Aug,3,Fire,GRASS - Small Grass Fire,B3,AFD,00-2304,3F,Code 3,4.0,"(30338413, 97692509)"
15075635,2015,Aug,3,Fire,AUTO - Auto Fire,B3,AFD,00-1407,2F,Code 3,4.0,"(30318234, 97707744)"
15051487,2015,May,26,Fire,ELEC - Electrical Fire,B3,AFD,00-2301,3F,Code 1,1.0,"(30371378, 97674969)"
15051592,2015,May,26,Fire,AUTO - Auto Fire,B4,AFD,00-3607,2F,Code 3,2.0,"(30192728, 97777565)"
15075678,2015,Aug,3,Fire,ELEC - Electrical Fire,B2,AFD,00-3403,3F,Code 3,6.0,"(30469544, 97802761)"
15075685,2015,Aug,3,Fire,AUTO - Auto Fire,B5,AFD,00-0603,2F,Code 3,9.0,"(30240899, 97756891)"
15075797,2015,Aug,4,Fire,TRASH - Trash Fire,B5,AFD,00-1504,3F,Code 3,3.0,"(30260864, 97699239)"
15075824,2015,Aug,4,Fire,AUTO - Auto Fire,B5,AFD,00-2403,2F,Code 3,2.0,"(30194567, 97767026)"
15075833,2015,Aug,4,Fire,GRASS - Small Grass Fire,B2,AFD,00-1903,3F,Code 3,10.0,"(30338118, 97754793)"
15075882,2015,Aug,4,Fire,GRASS - Small Grass Fire,B3,AFD,00-1805,3F,Code 3,1.0,"(30323281, 97680712)"
15075888,2015,Aug,4,Fire,GRASS - Small Grass Fire,B3,AFD,00-2303,3F,Code 3,1.0,"(30328535, 9.7662E+7)"
15075908,2015,Aug,4,Fire,AUTO - Auto Fire,B5,AFD,00-0504,2F,Code 3,1.0,"(30285733, 97665952)"
15075985,2015,Aug,4,Fire,DUMP - Dumpster Fire,B3,AFD,00-0803,3F,Code 3,4.0,"(30355204, 97703123)"
15076030,2015,Aug,4,Fire,AUTO - Auto Fire,B5,AFD,00-4201,2F,Code 3,2.0,"(30221648, 97675532)"
15051910,2015,May,27,Fire,ELEC - Electrical Fire,B4,AFD,00-2706,3F,Code 3,8.0,"(30230419, 97871395)"
15076155,2015,Aug,5,Fire,ELEC - Electrical Fire,B3,AFD,00-3002,3F,Code 3,7.0,"(30395489, 97708351)"
15051954,2015,May,27,Fire,AUTO - Auto Fire,B5,AFD,00-2202,2F,Code 3,9.0,"(30233594, 97740427)"
15076216,2015,Aug,5,Fire,ELEC - Electrical Fire,B1,AFD,00-1002,3F,Code 1,10.0,"(30294352, 97765818)"
15076301,2015,Aug,5,Fire,AUTO - Auto Fire,B3,AFD,00-0807,2F,Code 3,7.0,"(30387287, 97738159)"
15076313,2015,Aug,5,Fire,ELEC - Electrical Fire,B3,AFD,00-0801,3F,Code 3,4.0,"(30371971, 97715597)"
15076320,2015,Aug,5,Fire,ELEC - Electrical Fire,B4,AFD,00-1705,3F,Code 3,5.0,"(30233774, 97778255)"
15076336,2015,Aug,5,Fire,ELEC - Electrical Fire,B3,AFD,00-4001,3F,Code 3,7.0,"(30414882, 97667084)"
15076341,2015,Aug,5,Fire,TRASH - Trash Fire,B5,AFD,00-0603,3F,Code 3,9.0,"(30248324, 97762054)"
15076358,2015,Aug,5,Fire,GRASS - Small Grass Fire,B3,AFD,00-4005,3F,Left Blank,7.0,"(30437994, 97656751)"
15076367,2015,Aug,5,Fire,TRASH - Trash Fire,B4,AFD,00-2001,3F,Code 3,5.0,"(30210053, 97807293)"
15076422,2015,Aug,6,Fire,TRASH - Trash Fire,B1,AFD,00-0301,3F,Code 3,9.0,"(30286967, 97724697)"
15052048,2015,May,27,Fire,ELEC - Electrical Fire,B2,AFD,00-1605,3F,Code 3,7.0,"(30330117, 97723709)"
15052086,2015,May,27,Fire,ELEC - Electrical Fire,B3,AFD,00-2304,3F,Code 3,4.0,"(30357461, 97686658)"
15052140,2015,May,27,Fire,AUTO - Auto Fire,B4,AFD,00-3604,2F,Code 3,5.0,"(30153012, 97791709)"
15076656,2015,Aug,6,Fire,AUTO - Auto Fire,B3,AFD,00-1405,2F,Code 3,9.0,"(30294304, 97720174)"
15076691,2015,Aug,6,Fire,TRASH - Trash Fire,B1,AFD,00-0201,3F,Code 3,1.0,"(30279977, 97735709)"
15076694,2015,Aug,6,Fire,TRASH - Trash Fire,B1,AFD,00-0202,3F,Code 3,9.0,"(30275765, 97747362)"
15052260,2015,May,28,Fire,AUTO - Auto Fire,B2,AFD,00-3804,2F,Code 3,6.0,"(30454427, 97826871)"
15052277,2015,May,28,Fire,ELEC - Electrical Fire,B4,AFD,00-1701,3F,Code 3,3.0,"(30223099, 97765125)"
15076895,2015,Aug,7,Fire,TRASH - Trash Fire,B3,AFD,00-2304,3F,Code 3,4.0,"(30338413, 97692509)"
15076922,2015,Aug,7,Fire,AUTO - Auto Fire,B1,AFD,00-0102,2F,Code 3,1.0,"(30272748, 97741106)"
15076938,2015,Aug,7,Fire,GRASS - Small Grass Fire,B3,AFD,00-1801,3F,Code 3,1.0,"(30320232, 97666863)"
15077044,2015,Aug,7,Fire,ELEC - Electrical Fire,B2,AFD,00-2101,3F,Code 3,10.0,"(30354688, 97752365)"
15077061,2015,Aug,7,Fire,BBQ - Unsafe Cooking,B5,AFD,00-2203,4F,Code 1,3.0,"(30236892, 97711338)"
15077076,2015,Aug,7,Fire,TRASH - Trash Fire,B2,AFD,00-3906,3F,Code 3,6.0,"(30421362, 97845226)"
15077077,2015,Aug,7,Fire,GRASS - Small Grass Fire,B2,AFD,00-3906,3F,Left Blank,6.0,"(30421362, 97845226)"
15077092,2015,Aug,7,Fire,AUTO - Auto Fire,B5,AFD,00-0701,2F,Code 1,1.0,"(30273869, 97718869)"
15077094,2015,Aug,7,Fire,TRASH - Trash Fire,B3,AFD,00-2606,3F,Code 3,1.0,"(30302532, 97660212)"
15077122,2015,Aug,8,Fire,ELEC - Electrical Fire,B5,AFD,00-2202,3F,Code 3,3.0,"(30229774, 97726495)"
15077224,2015,Aug,8,Fire,AUTO - Auto Fire,B4,AFD,00-2903,2F,Code 3,5.0,"(30181535, 97839243)"
15077282,2015,Aug,8,Fire,GRASS - Small Grass Fire,B2,AFD,00-3301,3F,Code 3,10.0,"(30403037, 97777444)"
15077289,2015,Aug,8,Fire,BBQ - Unsafe Cooking,B2,AFD,00-3901,4F,Code 1,6.0,"(30419489, 97845993)"
15077328,2015,Aug,8,Fire,GRASS - Small Grass Fire,B5,AFD,00-4202,3F,Code 3,2.0,"(30193485, 97622252)"
15077334,2015,Aug,8,Fire,GRASS - Small Grass Fire,B3,AFD,00-1803,3F,Code 3,4.0,"(30315813, 97701535)"
15077428,2015,Aug,8,Fire,ELEC - Electrical Fire,B3,AFD,00-3002,3F,Code 3,7.0,"(30397697, 97702365)"
15077442,2015,Aug,8,Fire,AUTO - Auto Fire,B2,AFD,00-3901,2F,Code 3,6.0,"(30418887, 97846274)"
15052590,2015,May,29,Fire,DUMP - Dumpster Fire,B1,AFD,00-0401,3F,Code 3,9.0,"(30272763, 97757111)"
15077484,2015,Aug,8,Fire,DUMP - Dumpster Fire,B1,AFD,00-0201,3F,Code 3,9.0,"(30284868, 97748152)"
15052631,2015,May,29,Fire,ELEC - Electrical Fire,B3,AFD,00-0803,3F,Code 3,4.0,"(30358787, 97713004)"
15077501,2015,Aug,8,Fire,AUTO - Auto Fire,B1,AFD,00-0102,2F,Code 3,9.0,"(30268296, 97740037)"
15077515,2015,Aug,8,Fire,ELEC - Electrical Fire,B4,AFD,00-2004,3F,Code 3,5.0,"(30216649, 97796639)"
15077516,2015,Aug,8,Fire,BBQ - Unsafe Cooking,B5,AFD,00-2401,4F,Code 1,2.0,"(30191283, 97731155)"
15077546,2015,Aug,9,Fire,AUTO - Auto Fire,B3,AFD,00-1804,2F,Code 3,4.0,"(30333964, 97694445)"
15077666,2015,Aug,9,Fire,TRASH - Trash Fire,B5,AFD,00-2404,3F,Code 3,2.0,"(30151667, 97742245)"
15077707,2015,Aug,9,Fire,GRASS - Small Grass Fire,B3,AFD,00-1801,3F,Code 3,1.0,"(30313525, 97665648)"
15077708,2015,Aug,9,Fire,GRASS - Small Grass Fire,B3,AFD,00-1801,3F,Code 3,1.0,"(30313525, 97665648)"
15052719,2015,May,29,Fire,AUTO - Auto Fire,B3,AFD,00-4005,2F,Left Blank,7.0,"(30442108, 97665823)"
15077734,2015,Aug,9,Fire,BBQ - Unsafe Cooking,B4,AFD,00-1705,4F,Code 1,5.0,"(30235463, 97790165)"
15077769,2015,Aug,9,Fire,AUTO - Auto Fire,B4,AFD,00-1707,2F,Code 3,3.0,"(30219201, 97755821)"
15077852,2015,Aug,10,Fire,GRASS - Small Grass Fire,B5,AFD,00-2402,3F,Code 3,2.0,"(30194729, 97734853)"
15052814,2015,May,29,Fire,TRASH - Trash Fire,B2,AFD,00-4501,3F,Code 3,6.0,"(30487909, 97771299)"
15052839,2015,May,29,Fire,ELEC - Electrical Fire,B1,AFD,00-0401,3F,Code 3,9.0,"(30270606, 97754435)"
15052840,2015,May,29,Fire,TRASH - Trash Fire,B3,AFD,00-2606,3F,Code 3,1.0,"(30302634, 97660994)"
15078016,2015,Aug,10,Fire,GRASS - Small Grass Fire,B3,AFD,00-0804,3F,Code 3,7.0,"(30371061, 97722056)"
15078058,2015,Aug,10,Fire,GRASS - Small Grass Fire,B5,AFD,00-3503,3F,Code 3,3.0,"(30215055, 97710298)"
15052949,2015,May,29,Fire,ELEC - Electrical Fire,B4,AFD,00-2903,3F,Code 3,5.0,"(30181341, 97840059)"
15053030,2015,May,30,Fire,AUTO - Auto Fire,B5,AFD,00-3502,2F,Code 3,3.0,"(30229422, 97743267)"
15053163,2015,May,30,Fire,TRASH - Trash Fire,B2,AFD,00-1605,3F,Code 3,7.0,"(30333681, 97726967)"
15053215,2015,May,30,Fire,ELEC - Electrical Fire,B4,AFD,00-2702,3F,Code 1,8.0,"(30233931, 97838458)"
15078183,2015,Aug,10,Fire,ELEC - Electrical Fire,B4,AFD,00-2005,3F,Code 3,2.0,"(30205367, 97783051)"
15053256,2015,May,30,Fire,BBQ - Unsafe Cooking,B3,AFD,00-2306,4F,Code 1,4.0,"(30352625, 97691964)"
15078339,2015,Aug,11,Fire,GRASS - Small Grass Fire,B5,AFD,00-2205,3F,Code 3,3.0,"(30220351, 97688368)"
15078366,2015,Aug,11,Fire,BBQ - Unsafe Cooking,B3,AFD,00-0801,4F,Code 1,4.0,"(30369805, 97716986)"
15053431,2015,May,31,Fire,ELEC - Electrical Fire,B1,AFD,00-1206,3F,Code 3,10.0,"(30306439, 97745697)"
15053483,2015,May,31,Fire,BBQ - Unsafe Cooking,B4,AFD,00-1101,4F,Code 1,5.0,"(30248591, 97775042)"
15053535,2015,May,31,Fire,TRASH - Trash Fire,B4,AFD,00-2705,3F,Code 3,8.0,"(30219985, 97870375)"
15078393,2015,Aug,11,Fire,GRASS - Small Grass Fire,B3,AFD,00-0807,3F,Code 3,7.0,"(30385016, 97735336)"
15078394,2015,Aug,11,Fire,GRASS - Small Grass Fire,B3,AFD,00-0807,3F,Code 3,7.0,"(30387612, 97743198)"
15078445,2015,Aug,11,Fire,GRASS - Small Grass Fire,B2,AFD,00-4404,3F,Code 3,6.0,"(30443881, 97742383)"
15053595,2015,May,31,Fire,TRASH - Trash Fire,B2,AFD,00-2103,3F,Code 3,10.0,"(30385319, 97748791)"
15053604,2015,May,31,Fire,ELEC - Electrical Fire,B5,AFD,00-4204,3F,Code 3,2.0,"(30203811, 97641001)"
15078645,2015,Aug,12,Fire,AUTO - Auto Fire,B5,AFD,00-3503,2F,Code 3,3.0,"(30215055, 97710298)"
15078670,2015,Aug,12,Fire,GRASS - Small Grass Fire,B4,AFD,00-3610,3F,Code 3,5.0,"(30167032, 97784984)"
15078673,2015,Aug,12,Fire,GRASS - Small Grass Fire,B3,AFD,00-4001,3F,Code 3,7.0,"(30423659, 97671305)"
15078680,2015,Aug,12,Fire,GRASS - Small Grass Fire,B3,AFD,00-4001,3F,Left Blank,7.0,"(30420119, 97672236)"
15078687,2015,Aug,12,Fire,AUTO - Auto Fire,B5,AFD,00-3503,2F,Code 3,3.0,"(30215055, 97710298)"
15078748,2015,Aug,12,Fire,GRASS - Small Grass Fire,B2,AFD,00-1603,3F,Code 3,4.0,"(30330176, 97715653)"
15053628,2015,May,31,Fire,ELEC - Electrical Fire,B3,AFD,00-1802,3F,Code 3,1.0,"(30298427, 97683624)"
15078821,2015,Aug,12,Fire,TRASH - Trash Fire,B2,AFD,00-3404,3F,Code 3,6.0,"(30471397, 97790309)"
15053661,2015,May,31,Fire,ELEC - Electrical Fire,B3,AFD,00-4003,3F,Code 3,1.0,"(30359119, 97644639)"
15078717,2015,Aug,12,Fire,GRASS - Small Grass Fire,B3,AFD,00-4001,3F,Code 3,7.0,"(0.0, 0.0)"
15053802,2015,Jun,1,Fire,AUTO - Auto Fire,B3,AFD,00-0802,2F,Code 3,4.0,"(30364665, 97696115)"
15053818,2015,Jun,1,Fire,AUTO - Auto Fire,B2,AFD,00-1602,2F,Code 3,4.0,"(30340174, 97699605)"
15053849,2015,Jun,1,Fire,ELEC - Electrical Fire,B5,AFD,00-2202,3F,Code 3,3.0,"(30235454, 97724774)"
15078969,2015,Aug,13,Fire,GRASS - Small Grass Fire,B5,AFD,00-0701,3F,Code 3,1.0,"(30266065, 97720519)"
15078971,2015,Aug,13,Fire,GRASS - Small Grass Fire,B5,AFD,00-0701,3F,Left Blank,1.0,"(30271759, 97719477)"
15079069,2015,Aug,13,Fire,AUTO - Auto Fire,B5,AFD,00-3502,2F,Code 3,9.0,"(30233577, 97740367)"
15079097,2015,Aug,13,Fire,AUTO - Auto Fire,B4,AFD,00-3201,2F,Code 3,,"(30273153, 97798577)"
15079108,2015,Aug,13,Fire,GRASS - Small Grass Fire,B5,AFD,00-0601,3F,Code 3,9.0,"(30242975, 97736066)"
15079109,2015,Aug,13,Fire,GRASS - Small Grass Fire,B5,AFD,00-3502,3F,Other,3.0,"(30223022, 97747118)"
15079203,2015,Aug,13,Fire,BBQ - Unsafe Cooking,B5,AFD,00-2202,4F,Code 1,3.0,"(30238844, 97730358)"
15079216,2015,Aug,13,Fire,BBQ - Unsafe Cooking,B4,AFD,00-2005,4F,Code 1,2.0,"(30197935, 97789763)"
15079218,2015,Aug,13,Fire,ELEC - Electrical Fire,B3,AFD,00-2302,3F,Code 3,1.0,"(30354824, 97673452)"
15079240,2015,Aug,13,Fire,AUTO - Auto Fire,B5,AFD,00-0701,2F,Code 3,1.0,"(30269226, 97729356)"
15079246,2015,Aug,14,Fire,ELEC - Electrical Fire,B2,AFD,00-2101,3F,Code 3,10.0,"(30355054, 97752137)"
15079293,2015,Aug,14,Fire,GRASS - Small Grass Fire,B2,AFD,00-3802,3F,Code 3,6.0,"(30457013, 97821506)"
15079369,2015,Aug,14,Fire,ELEC - Electrical Fire,B5,AFD,00-1504,3F,Code 3,1.0,"(30276339, 97703765)"
15079418,2015,Aug,14,Fire,DUMP - Dumpster Fire,B2,AFD,00-2104,3F,Code 3,10.0,"(30369478, 97744635)"
15079450,2015,Aug,14,Fire,GRASS - Small Grass Fire,B4,AFD,00-17SV,3F,Code 3,,"(30228292, 97809427)"
15079469,2015,Aug,14,Fire,ELEC - Electrical Fire,B4,AFD,00-4302,3F,Code 3,8.0,"(30187479, 97899119)"
15079486,2015,Aug,14,Fire,TRASH - Trash Fire,B4,AFD,00-3610,3F,Code 3,5.0,"(30167032, 97784984)"
15079641,2015,Aug,14,Fire,GRASS - Small Grass Fire,B4,AFD,00-4305,3F,Code 3,8.0,"(30200548, 97865434)"
15079647,2015,Aug,14,Fire,AUTO - Auto Fire,B4,AFD,00-2901,2F,Code 3,8.0,"(30207668, 97860461)"
15054019,2015,Jun,1,Fire,DUMP - Dumpster Fire,B2,AFD,00-2501,3F,Code 3,6.0,"(30415636, 97743355)"
15079803,2015,Aug,15,Fire,GRASS - Small Grass Fire,B2,AFD,00-2101,3F,Code 3,10.0,"(30353592, 97747578)"
15079805,2015,Aug,15,Fire,GRASS - Small Grass Fire,B2,AFD,00-2104,3F,Code 3,10.0,"(30368678, 97741656)"
15079844,2015,Aug,15,Fire,ELEC - Electrical Fire,B2,AFD,00-3403,3F,Code 3,6.0,"(30469544, 97802761)"
15079847,2015,Aug,15,Fire,ELEC - Electrical Fire,B4,AFD,00-2705,3F,Code 3,8.0,"(30200335, 97875369)"
15079853,2015,Aug,15,Fire,GRASS - Small Grass Fire,B3,AFD,00-0807,3F,Code 3,10.0,"(30382036, 97741304)"
15079894,2015,Aug,15,Fire,ELEC - Electrical Fire,B3,AFD,00-3001,3F,Code 3,4.0,"(30366128, 97695285)"
15079959,2015,Aug,15,Fire,GRASS - Small Grass Fire,B5,AFD,00-3501,3F,Code 3,2.0,"(30205573, 97716601)"
15080003,2015,Aug,15,Fire,BBQ - Unsafe Cooking,B3,AFD,00-1804,4F,Code 1,4.0,"(30325781, 97695006)"
15080045,2015,Aug,15,Fire,AUTO - Auto Fire,B5,AFD,00-3504,2F,Code 3,2.0,"(30213031, 97689653)"
15080073,2015,Aug,15,Fire,AUTO - Auto Fire,B3,AFD,00-4005,2F,Code 3,7.0,"(30431419, 97669823)"
15080074,2015,Aug,15,Fire,AUTO - Auto Fire,B3,AFD,00-4005,2F,Left Blank,7.0,"(30430202, 97670056)"
15080081,2015,Aug,15,Fire,GRASS - Small Grass Fire,B3,AFD,00-4107,3F,Code 3,1.0,"(30325712, 97582447)"
15080158,2015,Aug,16,Fire,TRASH - Trash Fire,B1,AFD,00-0102,3F,Code 3,9.0,"(30270117, 97750044)"
